"","Name","Sex","Occurrence","Year","Prop"
"517","Monica","Female",615,1947,0.000346917259387496
"518","Tina","Female",541,1947,0.000305174369640058
"519","Jessica","Female",430,1947,0.0002425600350189
"520","Erica","Female",83,1947,4.68197276896946e-05
"521","Mary","Female",68598,1948,0.0404016012693305
"522","Sandra","Female",31062,1948,0.0182943313016115
"523","Pamela","Female",14281,1948,0.00841096340603674
"524","Rita","Female",5835,1948,0.00343659207858164
"525","Angela","Female",1801,1948,0.00106072019426316
"526","Monica","Female",847,1948,0.000498850641055467
"527","Tina","Female",577,1948,0.000339830956185365
"528","Jessica","Female",482,1948,0.000283879585582922
"529","Erica","Female",99,1948,5.83072177857039e-05
"530","Mary","Female",66869,1949,0.0390847931169522
"531","Sandra","Female",30643,1949,0.0179107705436415
"532","Pamela","Female",15132,1949,0.00884462291115047
"533","Rita","Female",6654,1949,0.00388924932928861
"534","Angela","Female",1967,1949,0.00114970745877828
"535","Monica","Female",826,1949,0.00048279530297451
"536","Tina","Female",640,1949,0.000374078685113422
"537","Jessica","Female",406,1949,0.000237306165868827
"538","Erica","Female",89,1949,5.20203171485852e-05
"539","Mary","Female",65482,1950,0.0382252535819027
"540","Sandra","Female",28896,1950,0.0168681000504362
"541","Pamela","Female",16202,1950,0.00945795117030617
"542","Rita","Female",6423,1950,0.00374943959800497
"543","Angela","Female",2057,1950,0.00120077802476977
"544","Monica","Female",1058,1950,0.000617609698690527
"545","Tina","Female",728,1950,0.000424971512898586
"546","Jessica","Female",402,1950,0.000234668335419274
"547","Erica","Female",116,1950,6.77152410662582e-05
"548","Mary","Female",65722,1951,0.0364944210546189
"549","Sandra","Female",27666,1951,0.0153625065107131
"550","Pamela","Female",18570,1951,0.0103116368793444
"551","Rita","Female",6415,1951,0.00356215135061898
"552","Angela","Female",2137,1951,0.00118664340393963
